LeftTorque:500 ,RightTorque:-500
LeftTorque:500.002 ,RightTorque:-499.999
LeftTorque:500.003 ,RightTorque:-499.998
LeftTorque:500.006 ,RightTorque:-499.997
LeftTorque:500.009 ,RightTorque:-499.994
LeftTorque:500.012 ,RightTorque:-499.992
LeftTorque:500.016 ,RightTorque:-499.989
LeftTorque:500.019 ,RightTorque:-499.986
LeftTorque:500.023 ,RightTorque:-499.983
LeftTorque:500.027 ,RightTorque:-499.98
LeftTorque:500.031 ,RightTorque:-499.977
LeftTorque:500.035 ,RightTorque:-499.974
LeftTorque:500.038 ,RightTorque:-499.971
LeftTorque:500.041 ,RightTorque:-499.968
LeftTorque:500.044 ,RightTorque:-499.966
LeftTorque:500.047 ,RightTorque:-499.964
LeftTorque:500.05 ,RightTorque:-499.962
LeftTorque:500.052 ,RightTorque:-499.96
LeftTorque:500.054 ,RightTorque:-499.959
LeftTorque:500.056 ,RightTorque:-499.958
LeftTorque:500.057 ,RightTorque:-499.957
LeftTorque:500.059 ,RightTorque:-499.956
LeftTorque:500.061 ,RightTorque:-499.955
LeftTorque:500.062 ,RightTorque:-499.954
LeftTorque:500.064 ,RightTorque:-499.953
LeftTorque:500.065 ,RightTorque:-499.952
LeftTorque:500.067 ,RightTorque:-499.952
LeftTorque:500.069 ,RightTorque:-499.95
LeftTorque:500.071 ,RightTorque:-499.949
LeftTorque:500.074 ,RightTorque:-499.948
LeftTorque:500.076 ,RightTorque:-499.947
LeftTorque:500.079 ,RightTorque:-499.945
LeftTorque:500.082 ,RightTorque:-499.943
LeftTorque:500.085 ,RightTorque:-499.942
LeftTorque:500.088 ,RightTorque:-499.94
LeftTorque:500.091 ,RightTorque:-499.938
LeftTorque:500.094 ,RightTorque:-499.936
LeftTorque:500.098 ,RightTorque:-499.934
LeftTorque:500.101 ,RightTorque:-499.932
LeftTorque:500.105 ,RightTorque:-499.93
LeftTorque:500.108 ,RightTorque:-499.928
LeftTorque:500.112 ,RightTorque:-499.926
LeftTorque:500.115 ,RightTorque:-499.925
LeftTorque:500.118 ,RightTorque:-499.923
LeftTorque:500.122 ,RightTorque:-499.922
LeftTorque:500.125 ,RightTorque:-499.92
LeftTorque:500.128 ,RightTorque:-499.919
LeftTorque:500.13 ,RightTorque:-499.918
LeftTorque:500.133 ,RightTorque:-499.917
LeftTorque:500.136 ,RightTorque:-499.916
LeftTorque:500.138 ,RightTorque:-499.916
LeftTorque:500.141 ,RightTorque:-499.915
LeftTorque:500.143 ,RightTorque:-499.915
LeftTorque:500.145 ,RightTorque:-499.915
LeftTorque:500.148 ,RightTorque:-499.914
LeftTorque:500.15 ,RightTorque:-499.914
LeftTorque:500.152 ,RightTorque:-499.914
LeftTorque:500.154 ,RightTorque:-499.914
LeftTorque:500.156 ,RightTorque:-499.915
LeftTorque:500.159 ,RightTorque:-499.915
LeftTorque:500.161 ,RightTorque:-499.915
LeftTorque:500.163 ,RightTorque:-499.915
LeftTorque:500.165 ,RightTorque:-499.916
LeftTorque:500.167 ,RightTorque:-499.916
LeftTorque:500.169 ,RightTorque:-499.917
LeftTorque:500.171 ,RightTorque:-499.917
LeftTorque:500.173 ,RightTorque:-499.918
LeftTorque:500.175 ,RightTorque:-499.919
LeftTorque:500.177 ,RightTorque:-499.92
LeftTorque:500.179 ,RightTorque:-499.921
LeftTorque:500.181 ,RightTorque:-499.922
LeftTorque:500.183 ,RightTorque:-499.923
LeftTorque:500.185 ,RightTorque:-499.924
LeftTorque:500.186 ,RightTorque:-499.925
LeftTorque:500.188 ,RightTorque:-499.927
LeftTorque:500.19 ,RightTorque:-499.928
LeftTorque:500.192 ,RightTorque:-499.929
LeftTorque:500.194 ,RightTorque:-499.931
LeftTorque:500.196 ,RightTorque:-499.933
LeftTorque:500.197 ,RightTorque:-499.934
LeftTorque:500.199 ,RightTorque:-499.936
LeftTorque:500.201 ,RightTorque:-499.938
LeftTorque:500.203 ,RightTorque:-499.94
LeftTorque:500.204 ,RightTorque:-499.942
LeftTorque:500.206 ,RightTorque:-499.944
LeftTorque:500.208 ,RightTorque:-499.946
LeftTorque:500.21 ,RightTorque:-499.948
LeftTorque:500.211 ,RightTorque:-499.95
LeftTorque:500.213 ,RightTorque:-499.952
LeftTorque:500.215 ,RightTorque:-499.954
LeftTorque:500.217 ,RightTorque:-499.957
LeftTorque:500.218 ,RightTorque:-499.959
LeftTorque:500.22 ,RightTorque:-499.961
LeftTorque:500.222 ,RightTorque:-499.964
LeftTorque:500.224 ,RightTorque:-499.966
LeftTorque:500.226 ,RightTorque:-499.969
LeftTorque:500.227 ,RightTorque:-499.971
LeftTorque:500.229 ,RightTorque:-499.974
LeftTorque:500.231 ,RightTorque:-499.977
LeftTorque:500.233 ,RightTorque:-499.979
LeftTorque:500.235 ,RightTorque:-499.982
LeftTorque:500.237 ,RightTorque:-499.985
LeftTorque:500.238 ,RightTorque:-499.988
LeftTorque:500.24 ,RightTorque:-499.99
LeftTorque:500.242 ,RightTorque:-499.993
LeftTorque:500.244 ,RightTorque:-499.996
LeftTorque:500.246 ,RightTorque:-499.999
LeftTorque:500.248 ,RightTorque:-500.002
LeftTorque:500.25 ,RightTorque:-500.005
LeftTorque:500.252 ,RightTorque:-500.008
LeftTorque:500.254 ,RightTorque:-500.011
LeftTorque:500.256 ,RightTorque:-500.014
LeftTorque:500.258 ,RightTorque:-500.017
LeftTorque:500.26 ,RightTorque:-500.02
LeftTorque:500.262 ,RightTorque:-500.023
LeftTorque:500.263 ,RightTorque:-500.026
LeftTorque:500.265 ,RightTorque:-500.029
LeftTorque:500.267 ,RightTorque:-500.032
LeftTorque:500.269 ,RightTorque:-500.035
LeftTorque:500.271 ,RightTorque:-500.038
LeftTorque:500.273 ,RightTorque:-500.041
LeftTorque:500.275 ,RightTorque:-500.044
LeftTorque:500.277 ,RightTorque:-500.047
LeftTorque:500.279 ,RightTorque:-500.05
LeftTorque:230.919 ,RightTorque:-500.128
LeftTorque:123.698 ,RightTorque:-500.209
LeftTorque:93.1191 ,RightTorque:-500.265
LeftTorque:77.8869 ,RightTorque:-500.299
LeftTorque:68.774 ,RightTorque:-500.318
LeftTorque:63.1622 ,RightTorque:-500.328
LeftTorque:59.8179 ,RightTorque:-500.332
LeftTorque:58.0124 ,RightTorque:-500.334
LeftTorque:57.2808 ,RightTorque:-500.334
LeftTorque:57.3157 ,RightTorque:-500.334
LeftTorque:57.9064 ,RightTorque:-500.334
LeftTorque:58.9017 ,RightTorque:-500.333
LeftTorque:60.187 ,RightTorque:-500.333
LeftTorque:61.6709 ,RightTorque:-500.332
LeftTorque:63.2778 ,RightTorque:-500.332
LeftTorque:64.9447 ,RightTorque:-500.332
LeftTorque:66.6192 ,RightTorque:-500.332
LeftTorque:68.2587 ,RightTorque:-500.333
LeftTorque:59.4926 ,RightTorque:-296.832
LeftTorque:55.5424 ,RightTorque:-144.095
LeftTorque:61.0109 ,RightTorque:-110.915
LeftTorque:68.4634 ,RightTorque:-98.0121
LeftTorque:75.1751 ,RightTorque:-90.748
LeftTorque:80.5884 ,RightTorque:-85.9182
LeftTorque:84.7721 ,RightTorque:-82.529
LeftTorque:87.9082 ,RightTorque:-80.1753
LeftTorque:90.1654 ,RightTorque:-78.6452
LeftTorque:91.685 ,RightTorque:-77.7983
LeftTorque:92.5877 ,RightTorque:-77.5224
LeftTorque:92.982 ,RightTorque:-77.7176
LeftTorque:92.9677 ,RightTorque:-78.2901
LeftTorque:92.6377 ,RightTorque:-79.1519
LeftTorque:92.0773 ,RightTorque:-80.2209
LeftTorque:91.3634 ,RightTorque:-81.4227
LeftTorque:90.5635 ,RightTorque:-82.6915
LeftTorque:-499.922 ,RightTorque:-51.8538
LeftTorque:-499.981 ,RightTorque:-59.2452
LeftTorque:-500.007 ,RightTorque:-71.5252
LeftTorque:-500.017 ,RightTorque:-81.8427
LeftTorque:-500.019 ,RightTorque:-89.5856
LeftTorque:-500.019 ,RightTorque:-95.2227
LeftTorque:-500.018 ,RightTorque:-99.1928
LeftTorque:-500.016 ,RightTorque:-101.796
LeftTorque:-500.015 ,RightTorque:-103.248
LeftTorque:-500.013 ,RightTorque:-103.726
LeftTorque:-500.012 ,RightTorque:-103.395
LeftTorque:-500.01 ,RightTorque:-102.41
LeftTorque:-500.009 ,RightTorque:-100.919
LeftTorque:-500.008 ,RightTorque:-99.0592
LeftTorque:-500.007 ,RightTorque:-96.9552
LeftTorque:-500.006 ,RightTorque:-94.7147
LeftTorque:-500.005 ,RightTorque:-92.4288
LeftTorque:-500.004 ,RightTorque:-90.171
LeftTorque:-500.004 ,RightTorque:-87.9976
LeftTorque:-500.003 ,RightTorque:-85.9494
LeftTorque:-500.002 ,RightTorque:-84.0527
LeftTorque:-500.002 ,RightTorque:-82.3215
LeftTorque:-500.001 ,RightTorque:-80.7596
LeftTorque:-500.001 ,RightTorque:-79.3624
LeftTorque:-500 ,RightTorque:-78.1192
LeftTorque:-500 ,RightTorque:-77.0148
LeftTorque:-499.999 ,RightTorque:-76.0311
LeftTorque:-499.999 ,RightTorque:-75.1489
LeftTorque:-499.998 ,RightTorque:-74.3486
LeftTorque:-499.998 ,RightTorque:-73.6111
LeftTorque:-499.998 ,RightTorque:-72.919
LeftTorque:-499.997 ,RightTorque:-72.2566
LeftTorque:-499.997 ,RightTorque:-71.6103
LeftTorque:-499.996 ,RightTorque:-70.9688
LeftTorque:-499.996 ,RightTorque:-70.3232
LeftTorque:-499.995 ,RightTorque:-69.6666
LeftTorque:-499.995 ,RightTorque:-68.9942
LeftTorque:-499.995 ,RightTorque:-68.3031
LeftTorque:-499.994 ,RightTorque:-67.5917
