LeftTorque:3000.01 ,RightTorque:-3000
LeftTorque:3000.05 ,RightTorque:-2999.97
LeftTorque:3000.12 ,RightTorque:-2999.93
LeftTorque:3000.2 ,RightTorque:-2999.87
LeftTorque:3000.31 ,RightTorque:-2999.79
LeftTorque:3000.43 ,RightTorque:-2999.69
LeftTorque:3000.58 ,RightTorque:-2999.58
LeftTorque:3000.73 ,RightTorque:-2999.46
LeftTorque:3000.9 ,RightTorque:-2999.34
LeftTorque:3001.07 ,RightTorque:-2999.21
LeftTorque:3001.24 ,RightTorque:-2999.08
LeftTorque:3001.41 ,RightTorque:-2998.95
LeftTorque:3001.58 ,RightTorque:-2998.83
LeftTorque:3001.73 ,RightTorque:-2998.73
LeftTorque:3001.88 ,RightTorque:-2998.63
LeftTorque:3002.01 ,RightTorque:-2998.56
LeftTorque:3002.12 ,RightTorque:-2998.5
LeftTorque:3002.22 ,RightTorque:-2998.46
LeftTorque:3002.3 ,RightTorque:-2998.43
LeftTorque:3002.37 ,RightTorque:-2998.42
LeftTorque:3002.43 ,RightTorque:-2998.43
LeftTorque:3002.48 ,RightTorque:-2998.45
LeftTorque:3002.52 ,RightTorque:-2998.48
LeftTorque:3002.56 ,RightTorque:-2998.52
LeftTorque:3002.6 ,RightTorque:-2998.57
LeftTorque:3002.65 ,RightTorque:-2998.62
LeftTorque:3002.7 ,RightTorque:-2998.67
LeftTorque:3002.75 ,RightTorque:-2998.72
LeftTorque:3002.82 ,RightTorque:-2998.77
LeftTorque:3002.89 ,RightTorque:-2998.82
LeftTorque:3002.96 ,RightTorque:-2998.87
LeftTorque:3003.04 ,RightTorque:-2998.92
LeftTorque:3003.13 ,RightTorque:-2998.98
LeftTorque:3003.22 ,RightTorque:-2999.04
LeftTorque:3003.31 ,RightTorque:-2999.1
LeftTorque:3003.4 ,RightTorque:-2999.17
LeftTorque:3003.48 ,RightTorque:-2999.25
LeftTorque:3003.57 ,RightTorque:-2999.33
LeftTorque:1931.99 ,RightTorque:-2999.94
LeftTorque:587.836 ,RightTorque:-3001.22
LeftTorque:305.894 ,RightTorque:-3002.48
LeftTorque:171.727 ,RightTorque:-3003.52
LeftTorque:80.38 ,RightTorque:-3004.32
LeftTorque:7.03075 ,RightTorque:-2873.8
LeftTorque:-162.294 ,RightTorque:-762.245
LeftTorque:-183.171 ,RightTorque:-421.009
LeftTorque:-144.424 ,RightTorque:-322.632
LeftTorque:-91.5715 ,RightTorque:-270.573
LeftTorque:-40.5066 ,RightTorque:-232.201
LeftTorque:4.20257 ,RightTorque:-200.828
LeftTorque:41.7573 ,RightTorque:-174.792
LeftTorque:72.5688 ,RightTorque:-153.479
LeftTorque:97.4032 ,RightTorque:-136.467
LeftTorque:117.078 ,RightTorque:-123.357
LeftTorque:132.354 ,RightTorque:-113.751
LeftTorque:143.903 ,RightTorque:-107.256
LeftTorque:152.311 ,RightTorque:-103.482
LeftTorque:158.091 ,RightTorque:-102.05
LeftTorque:161.699 ,RightTorque:-102.589
LeftTorque:163.548 ,RightTorque:-104.737
