LeftTorque:1000.01 ,RightTorque:-999.994
LeftTorque:1000.05 ,RightTorque:999.997
LeftTorque:-999.997 ,RightTorque:-999.996
LeftTorque:1000.02 ,RightTorque:-999.986
LeftTorque:1000.05 ,RightTorque:-999.965
LeftTorque:1000.09 ,RightTorque:-999.937
LeftTorque:1000.13 ,RightTorque:-999.906
LeftTorque:1000.17 ,RightTorque:-999.874
LeftTorque:1000.21 ,RightTorque:-999.842
LeftTorque:1000.25 ,RightTorque:-999.811
LeftTorque:1000.29 ,RightTorque:-999.781
LeftTorque:1000.33 ,RightTorque:-999.754
LeftTorque:-855.862 ,RightTorque:-999.963
LeftTorque:1000.09 ,RightTorque:-999.951
LeftTorque:-1000.16 ,RightTorque:-1000.23
LeftTorque:999.9 ,RightTorque:-1000.18
LeftTorque:-1000.3 ,RightTorque:-1000.48
LeftTorque:999.781 ,RightTorque:-1000.38
LeftTorque:-1000.39 ,RightTorque:-1000.71
LeftTorque:999.715 ,RightTorque:-1000.54
LeftTorque:-1000.44 ,RightTorque:-1000.9
LeftTorque:999.681 ,RightTorque:-1000.67
LeftTorque:-1000.47 ,RightTorque:-1001.06
LeftTorque:999.663 ,RightTorque:-1000.78
LeftTorque:-1000.49 ,RightTorque:-1001.23
LeftTorque:966.591 ,RightTorque:-1000.9
LeftTorque:-1000.51 ,RightTorque:-1001.4
LeftTorque:797.759 ,RightTorque:-1001.08
LeftTorque:-1000.53 ,RightTorque:-1001.62
LeftTorque:999.628 ,RightTorque:-1001.14
LeftTorque:-1000.53 ,RightTorque:-1001.75
LeftTorque:770.53 ,RightTorque:-1001.33
LeftTorque:-1000.54 ,RightTorque:-1001.97
LeftTorque:999.632 ,RightTorque:-1001.35
LeftTorque:-1000.53 ,RightTorque:-1002.07
LeftTorque:742.354 ,RightTorque:-1001.55
LeftTorque:-1000.54 ,RightTorque:-1002.3
LeftTorque:999.65 ,RightTorque:-1001.52
LeftTorque:-1000.52 ,RightTorque:-1002.36
LeftTorque:725.944 ,RightTorque:-1001.74
LeftTorque:-1000.52 ,RightTorque:-1002.59
LeftTorque:999.68 ,RightTorque:-1001.65
LeftTorque:-1000.49 ,RightTorque:-1002.62
LeftTorque:705.063 ,RightTorque:-1001.88
LeftTorque:-1000.49 ,RightTorque:-1002.84
LeftTorque:999.717 ,RightTorque:-1001.74
LeftTorque:-1000.45 ,RightTorque:-908.521
LeftTorque:679.592 ,RightTorque:-179.648
LeftTorque:-1000.27 ,RightTorque:-34.3974
LeftTorque:1000 ,RightTorque:-106.781
LeftTorque:-1000.19 ,RightTorque:-3.71256
LeftTorque:719.475 ,RightTorque:-76.1594
LeftTorque:-1000.18 ,RightTorque:0.9937
LeftTorque:1000.06 ,RightTorque:-80.2093
LeftTorque:-1000.16 ,RightTorque:8.50396
LeftTorque:959.592 ,RightTorque:-70.3689
LeftTorque:-1000.15 ,RightTorque:10.6232
LeftTorque:848.887 ,RightTorque:-63.6044
LeftTorque:-1000.15 ,RightTorque:8.16457
LeftTorque:1000.09 ,RightTorque:-67.0531
LeftTorque:-1000.13 ,RightTorque:9.65842
LeftTorque:854.786 ,RightTorque:-60.1439
LeftTorque:-1000.13 ,RightTorque:6.05696
LeftTorque:1000.1 ,RightTorque:-63.9624
LeftTorque:-1000.12 ,RightTorque:7.10096
LeftTorque:874.512 ,RightTorque:-58.3245
LeftTorque:-1000.12 ,RightTorque:4.11459
LeftTorque:1000.16 ,RightTorque:297.603
LeftTorque:-1000.1 ,RightTorque:-25.8748
LeftTorque:861.457 ,RightTorque:677.039
LeftTorque:-1000.17 ,RightTorque:-711.928
LeftTorque:1000.23 ,RightTorque:1000.51
LeftTorque:-1000.12 ,RightTorque:-396.471
LeftTorque:976.024 ,RightTorque:1000.58
LeftTorque:-1000.17 ,RightTorque:-914.8
LeftTorque:950.549 ,RightTorque:1000.47
LeftTorque:-1000.07 ,RightTorque:2.458
LeftTorque:955.341 ,RightTorque:673.704
LeftTorque:-1000.15 ,RightTorque:-690.534
LeftTorque:1000.22 ,RightTorque:1000.54
LeftTorque:-1000.11 ,RightTorque:-427.433
LeftTorque:909.952 ,RightTorque:1000.52
LeftTorque:-1000.15 ,RightTorque:-868.059
LeftTorque:1000.21 ,RightTorque:1000.52
LeftTorque:-1000.07 ,RightTorque:-104.465
LeftTorque:987.516 ,RightTorque:858.662
LeftTorque:-1000.16 ,RightTorque:-1001.28
LeftTorque:978.176 ,RightTorque:1000.48
LeftTorque:-1000.05 ,RightTorque:64.7067
LeftTorque:937.485 ,RightTorque:537.549
LeftTorque:-1000.1 ,RightTorque:-448.773
LeftTorque:1000.2 ,RightTorque:1000.54
LeftTorque:-1000.13 ,RightTorque:-904.655
LeftTorque:1000.19 ,RightTorque:1000.5
LeftTorque:-1000.06 ,RightTorque:-70.9275
LeftTorque:913.942 ,RightTorque:777.894
LeftTorque:-1000.13 ,RightTorque:-911.477
